1,0PERATING A MOTOR SCOOTER ON HWY W/O REQUIRED LICENSE OR PERMIT,6
2,BICYCLE OPERATOR FAIL TO RIDE RIGHT SIDE OF ROAD,5
3,BRAKES -20% BRAKE CRITERIA,7
4,BROKEN REAR TAG LAMP,5
5,DRIVER FAILING TO STOP AT RED SIGNAL BEFORE LEFT TURN,7
6,DRIVER FAILURE TO STOP FOR PEDESTRAIN IN CROSSWALK,8
7,DRIVER FAILURE TO USE TURN SIGNAL LAMP BEFORE TURN,6
8,DRIVER FAILURE TO YIELD RIGHT OF WAY TO ONCOMING TRAFFIC,8
9,DRIVING ACROSS BARRIER ON DIVIDED HWY,9
10,DRIVING AN UNINSURED VEHICLE,6
11,DRIVING EXPIRED REGISTRATION PLATES,6
12,DRIVING MOTOR VEHICLE WITH OBSTRUCTED VIEW,7
13,DRIVING VEHICLE ON HWY IN VIOLATION OF WEIGHT LAWS,8
14,DRIVING VEHICLE WHILE IMPAIRED BY DRUGS,10
15,DRIVING VEHICLE WHILE WEARING EARPHONES,5
16,DRIVING WITH AN EXPIRED LICENSE,6
17,DRIVING WITHOUT LICENSE,6
18,DRIVING WHILE IMPAIRED BY ALCOHOL,10
19,ENDANGERING HEALTH/SAFETY/WELFARE OF DOG BY LEAVING DOG IN UNATTENDED IN MOTOR VEHICLE,5
20,EXCEEDING SPEED LIMIT IN SCHOOL ZONE,9
21,EXCEEDING THE POSTED SPEED LIMIT OF 10 MPH,8
22,EXCEEDING THE POSTED SPEED LIMIT OF 15 MPH,8
23,EXCEEDING THE POSTED SPEED LIMIT OF 20 MPH,8
24,EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,8
25,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,8
26,EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,8
27,EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,8
28,EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,8
29,EXCEEDING THE POSTED SPEED LIMIT OF 5 MPH,8
30,EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,8
31,EXCEEDING THE POSTED SPEED LIMIT OF 54 MPH,8
32,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,8
33,EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH,8
34,EXCEEDING THE POSTED SPEED LIMIT OF 65 MPH,8
35,EXCEEDING THE POSTED SPEED LIMIT OF 70 MPH,8
36,FAIL TO YIELD,6
37,FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER,6
38,FAILURE TO RETURN TO AND REMAIN AT SCENE OF ACCIDENT,7
39,HEADLIGHTS INOPERATIVE,4
40,KNOWINGLY DRIVING UNINSURED VEHICLE,4
41,LEFT TURN ON RED SIGNAL,5
42,OPERATING MOTOR VEHICLE NOT RESTRAINED BY SEAT BELT,7
43,OPERATING MOTOR VEHICLE IN CONDITION LIKELY TO CAUSE ACCIDENT,7
44,OPERATING MOTOR VEHICLE WITH FLAT TIRE,5
45,OPERATING MOTORCYCLE BETWEEN LANES OF TRAFFIC,9
46,PARKING VEHICLE ON SIDEWALK,6
47,PASS REAR BRAKE LIGHT INOPERATIVE,4
48,PEDESTRIAN FAIL TO OBEY DONT WALK,2
49,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED,8
50,PERSON KNOWINGLY MAKING FALSE VEHICLE THEFT REPORT TO POLICE,8
51,PROHIBITED DOUBLE PARKING,3
52,REFUSING TO SIGN A TRAFFIC CITATION AFTER REQUEST,7
53,RIDING BICYCLE ON ROADWAY WHERE SMOOTH SHOULDER AVAILABLE,4
54,SPEEDING IN AND OUT OF TRAFFIC,8
55,STOPPING VEHICLE IN INTERSECTION,6
56,OPERATING MOTOR VEHICLE WITH SUSPENDED LICENSE,6
57,TAGS ISSUED TO ANOTHER VEHICLE,5
58,TAILLIGHT INOPERATIVE,5
59,TEXTING WHILE DRIVING,7
60,THROWING/DUMPING/DEPOSIT REFUSE ON HWY,4
61,TRAILER REVERSE LAMP INOPERABLE,5
62,TURN SIGNAL INOPERATIVE,5
63,UNINSURED MOTOR VEHICLE,5
64,UNLAWFUL POSSESSION OF MASTER KEY TO OPERATE ANY MOTOR VEHICLE,8
65,USE OF DISABLED PERSON PARKING PLACARD IF NOT DISABLED,4
66,USING PHONE WHILE DRIVING,7
67,VEHICLE WITHIN 15 FEET FIRE HYDRANT,3
68,VEHICLE WITHIN 20 FEET OF CROSSWALK,3
69,WILLFULLY DISOBEYING LAWFUL ORDER OF A POLICE OFFICER,9
70,WINDOW DAMAGED,1
71,WINDOW GLAZING IMPROPER,2
